playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
94,40.0,25.0,24.065,7.7,2.5,4.1,61.3%,0.6,1.9,31.2%,0.9,1.4,63.8%,1.3,2.8,4.1,0.5,0.4,0.4,0.2,0.2,2.0,2.2,9.1,011231,"BLOSSOMGAME, JARON",31,https://media-cdn.cortextech.io/47740cf2-cdbf-4529-9cbe-3954f423f542.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
95,30.0,20.0,24.98,7.7,1.0,2.1,49.2%,1.4,3.4,41.2%,1.4,1.5,93.3%,1.5,2.9,4.5,1.1,0.7,0.7,0.5,0.1,2.1,1.4,9.8,006760,"BONGA, ISAAC",25,https://media-cdn.cortextech.io/a838b518-6e96-4482-b67f-90f52f979588.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
95,33.0,9.0,18.953535353535354,7.7,1.7,3.1,55.3%,1.0,3.2,32.7%,1.1,1.5,77.1%,0.6,1.9,2.5,1.2,0.4,0.7,0.2,0.2,1.3,1.5,7.2,012609,"MALCOLM, COLLIN",27,https://media-cdn.cortextech.io/936958b4-089b-4ba9-a797-8b0d1a117b7d.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
97,32.0,3.0,15.011979166666666,7.6,1.0,2.2,45.8%,1.6,3.8,41.3%,0.9,0.9,96.6%,0.4,1.6,2.0,0.8,0.5,0.5,0.1,0.2,1.4,0.7,6.1,013384,"BROOKS, ARMONI",26,https://media-cdn.cortextech.io/8c4d5e17-01aa-4f77-99b1-207d7c82d195.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
98,37.0,15.0,16.82162162162162,7.6,1.7,3.4,50.8%,1.1,3.2,34.5%,0.9,1.0,86.5%,0.6,2.7,3.3,0.8,0.5,1.3,0.2,0.1,1.2,1.0,6.8,013363,"NWORA, JORDAN",26,https://media-cdn.cortextech.io/07e28b94-3ed7-4077-bfea-0272d3bdea67.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
99,38.0,0.0,16.432894736842105,7.6,1.7,2.7,62.7%,0.9,2.9,31.2%,1.5,2.3,65.2%,0.6,1.5,2.1,1.6,0.5,1.0,0.0,0.3,1.4,1.8,7.2,007853,"MCKISSIC, SHAQUIELLE",34,https://media-cdn.cortextech.io/3e6e2015-538f-45f9-ab34-03ee341681df.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
100,27.0,7.0,16.849382716049384,7.6,1.9,4.2,45.1%,0.7,2.8,23.7%,1.8,2.0,87.3%,0.3,1.3,1.6,2.9,0.4,1.5,0.0,0.2,1.2,1.8,6.5,006085,"DIMITRIJEVIC, NENO",26,https://media-cdn.incrowdsports.com/b73d9c63-2a0f-45be-bcfb-bab12c6e1043.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
101,31.0,7.0,14.638709677419355,7.5,3.2,4.9,65.6%,0.0,0.0,0%,1.2,1.8,63.2%,1.5,2.4,4.0,0.6,0.5,1.1,0.3,0.2,2.1,2.0,9.0,002581,"JAITEH, MAM",30,https://media-cdn.incrowdsports.com/81504ec9-fd6b-4124-afbf-bed470352312.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
102,38.0,38.0,25.513157894736842,7.5,1.1,1.8,63.2%,1.5,3.9,38.8%,0.7,0.9,82.4%,1.6,3.2,4.8,1.0,0.7,0.4,0.2,0.2,2.6,1.6,9.5,012613,"JANTUNEN, MIKAEL",24,https://media-cdn.cortextech.io/7c7134c0-946e-495e-8c01-6952b2129796.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
103,25.0,21.0,24.41133333333333,7.4,2.0,3.2,60.5%,0.8,1.8,44.4%,1.0,1.4,74.3%,1.4,3.4,4.8,1.7,0.3,0.9,0.2,0.4,0.8,1.9,11.5,007230,"SEDEKERSKIS, TADAS",26,https://media-cdn.cortextech.io/06b5ca08-62cf-4401-96f6-1b8aca1750e5.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
104,29.0,2.0,16.508045977011495,7.3,2.8,4.1,66.7%,0.4,1.0,39.3%,0.6,0.7,90%,1.1,2.3,3.4,0.5,0.5,0.6,1.3,0.1,2.3,0.8,8.8,005844,"PAPAGIANNIS, GEORGIOS",27,https://media-cdn.cortextech.io/7410bb12-8f97-491b-96e4-264f048acc27.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
105,37.0,18.0,19.570720720720722,7.1,1.8,2.9,62.6%,0.8,2.0,41.3%,1.0,1.1,88.1%,0.7,2.1,2.8,1.4,0.7,0.5,0.3,0.1,1.8,1.1,8.5,012795,"ANDERSON, JUSTIN",31,https://media-cdn.cortextech.io/fe45bbed-041c-4077-a770-db8d3c0946f0.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
106,25.0,13.0,21.412,7.1,2.0,4.6,43%,0.8,2.6,30.3%,0.8,1.0,80%,0.2,1.5,1.7,3.7,0.9,0.9,0.2,0.2,2.4,1.0,6.4,012597,"BALDWIN, KAMAR",27,https://media-cdn.cortextech.io/acf4fd65-d077-415d-84fb-67005cb43e49.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
107,25.0,18.0,22.40266666666667,6.9,2.4,4.6,50.9%,0.3,1.4,22.2%,1.2,1.8,67.4%,0.4,1.9,2.4,3.1,1.1,1.2,0.2,0.2,1.9,2.5,8.8,008985,"BOLMARO, LEANDRO",24,https://media-cdn.cortextech.io/1e179ffd-b315-4f4a-90ed-aeb356efa432.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
108,39.0,4.0,18.14145299145299,6.8,1.6,2.4,67.7%,0.8,2.1,38.6%,1.2,1.4,81.8%,0.6,1.8,2.5,0.9,0.3,0.9,0.1,0.2,2.2,1.7,6.7,007109,"SMITS, ROLANDS",29,https://media-cdn.cortextech.io/d4e2115d-e8a8-497e-9522-f11f7d7d0336.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
109,39.0,35.0,18.449572649572648,6.7,1.7,3.5,47.8%,0.9,2.5,35.7%,0.6,1.0,65.8%,1.1,2.4,3.5,0.5,0.6,0.8,0.3,0.1,1.4,1.3,6.8,009783,"COLSON, BONZIE",28,https://media-cdn.cortextech.io/3fa1da27-0721-4274-9d43-26910bec0f2d.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
110,40.0,3.0,17.098333333333333,6.6,0.8,2.0,40.5%,1.4,4.6,29.2%,1.0,1.2,81.2%,0.4,1.0,1.4,2.2,0.4,0.7,0.0,0.2,1.5,1.5,5.1,TGB,"LLULL, SERGIO",37,https://media-cdn.cortextech.io/38500d8f-02b6-40a7-a6b7-c9fb901a0f6e.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
111,34.0,16.0,22.367156862745098,6.6,1.1,2.3,48.1%,0.8,1.9,39.4%,2.0,2.4,83.1%,1.0,1.8,2.9,1.8,0.5,0.9,0.1,0.1,2.7,2.9,8.2,002329,"ULANOVAS, EDGARAS",32,https://media-cdn.cortextech.io/c37e8132-0498-4172-8e32-4c7044bd4370.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
112,36.0,32.0,23.643055555555556,6.5,1.4,2.3,60.2%,1.1,3.0,34.9%,0.6,0.8,69%,1.2,3.8,4.9,2.4,0.5,1.5,0.2,0.2,1.8,1.1,9.2,007201,"VOIGTMANN, JOHANNES",32,https://media-cdn.cortextech.io/f25b3c46-64c0-4108-8168-c0ac3aa4a6bb.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
113,39.0,35.0,16.582905982905984,6.5,1.6,2.9,55.7%,0.7,1.9,39.2%,1.0,1.1,92.7%,0.9,2.0,2.9,1.0,0.5,1.0,0.2,0.2,1.7,1.3,6.9,012710,"OSMANI, ERCAN",26,https://media-cdn.cortextech.io/dee92a82-6870-48dc-8b39-9f8250620951.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
114,38.0,38.0,20.226754385964913,6.5,2.5,4.1,61.9%,0.0,0.0,0%,1.4,1.8,78.3%,1.8,2.8,4.6,0.5,1.0,0.9,0.8,0.3,2.8,1.6,9.0,010390,"HAYES, KEVARRIUS",27,https://media-cdn.cortextech.io/f8b50ed9-1f5a-4e02-9046-4ec6bd379217.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
115,25.0,8.0,18.192666666666668,6.4,1.0,1.8,54.5%,1.3,2.3,57.9%,0.6,0.7,77.8%,0.5,1.3,1.8,0.9,0.2,0.8,0.2,0.2,2.6,1.2,5.3,001557,"GIFFEY, NIELS",33,https://media-cdn.cortextech.io/4238ce12-6d72-4f5a-83dd-fc4a970e13b9.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
116,29.0,24.0,14.729885057471265,6.4,2.3,3.9,59.3%,0.3,0.7,47.4%,0.9,1.6,54.3%,1.2,1.9,3.1,0.9,0.3,0.9,0.3,0.1,2.0,2.0,7.5,LCZ,"MOTIEJUNAS, DONATAS",34,https://media-cdn.incrowdsports.com/39083acc-1aae-4898-b1e0-0ec50c84f03e.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
117,35.0,1.0,16.244761904761905,6.3,1.1,2.8,38.1%,1.0,2.5,39.1%,1.3,1.5,81.5%,0.2,1.3,1.6,3.3,0.5,1.2,0.0,0.2,1.4,2.2,7.5,012044,"DOS SANTOS, YAGO",25,https://media-cdn.incrowdsports.com/6d744023-a776-440a-b713-1d6eea2f9637.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
118,38.0,11.0,14.914473684210526,6.3,1.6,3.1,53.4%,0.7,2.1,33.3%,0.9,1.1,80.5%,0.3,1.7,2.0,2.7,0.8,1.3,0.1,0.1,1.1,1.3,7.6,009622,"BROWN, LORENZO",34,https://media-cdn.cortextech.io/8c072cdd-59ae-4c44-8388-6a1903cd239e.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
119,31.0,10.0,15.853225806451613,6.2,2.1,3.5,60%,0.0,0.0,0%,2.0,2.8,70.1%,1.3,1.8,3.1,0.4,0.6,0.7,0.4,0.2,2.0,2.2,7.9,013374,"DIOUF, MOUHAMET",23,https://media-cdn.cortextech.io/b66cdc05-d0ad-4ffd-9cc7-11a8748b1768.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
120,29.0,2.0,12.317816091954022,6.2,2.1,3.3,63.2%,0.4,1.4,31.7%,0.7,1.0,75%,1.3,1.9,3.2,0.7,0.2,1.2,0.5,0.1,1.9,0.9,6.0,003583,"IBAKA, SERGE",35,https://media-cdn.incrowdsports.com/748b5640-038f-4608-90f1-2bdf439b3f4c.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
121,30.0,1.0,13.73611111111111,6.2,1.1,2.5,45.3%,1.0,3.4,29.4%,0.9,1.1,81.8%,0.1,0.4,0.5,0.9,0.3,0.6,0.0,0.2,1.4,0.8,2.5,BCN,"BELINELLI, MARCO",38,https://media-cdn.incrowdsports.com/95f413de-ce11-4fe1-916a-3984551ceba7.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
122,39.0,13.0,16.146153846153847,6.0,1.7,3.1,53.3%,0.7,1.7,43.1%,0.5,0.8,66.7%,1.0,1.9,2.9,0.6,0.5,0.6,0.1,0.2,1.9,0.9,5.6,007866,"MITOGLOU, KONSTANTINOS",28,https://media-cdn.cortextech.io/786a3466-8cef-47d3-86c6-487cc42cab85.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
123,32.0,22.0,16.525520833333335,6.0,2.6,4.1,64.1%,0.0,0.2,0%,0.7,1.8,41.1%,1.9,2.0,3.9,0.7,0.6,1.2,0.9,0.3,2.8,1.8,7.0,013383,"GABRIEL, WENYEN",27,https://media-cdn.cortextech.io/b2a934ec-11e0-4328-b9e4-2fefc29b4578.png,TEL;PAN,MTA;PAO,Maccabi Rapyd Tel Aviv;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
124,39.0,34.0,23.705128205128204,5.9,1.7,3.3,50%,0.6,1.8,34.7%,0.7,1.0,67.5%,0.8,2.4,3.2,5.3,0.9,1.8,0.1,0.1,2.3,1.6,9.7,002939,"SATORANSKY, TOMAS",33,https://media-cdn.cortextech.io/8bc8bebe-90c0-4d43-8340-2210a16a5d1f.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
125,39.0,28.0,18.87136752136752,5.9,1.1,1.9,58.9%,1.0,2.2,46%,0.6,0.7,88.5%,0.4,1.9,2.4,1.7,0.5,0.5,0.0,0.0,1.8,0.6,6.6,003733,"ABALDE, ALBERTO",29,https://media-cdn.cortextech.io/72807eac-571d-4e7b-ac26-93986d5d0e80.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
126,22.0,13.0,14.914393939393939,5.9,0.5,1.3,42.9%,1.0,3.1,32.4%,1.8,2.4,75%,0.4,0.8,1.1,2.3,0.4,1.3,0.0,0.0,2.0,2.8,5.8,008104,"ZAGARS, ARTURS",24,https://media-cdn.cortextech.io/b730ece6-d4b7-409a-84d6-398b9bc1315c.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
127,30.0,18.0,24.011666666666667,5.8,1.5,3.1,46.8%,0.8,2.1,39.1%,0.4,0.5,78.6%,0.7,1.1,1.8,1.9,0.6,1.1,0.1,0.4,2.0,0.9,4.5,007513,"GIEDRAITIS, DOVYDAS",24,https://media-cdn.cortextech.io/ef636bf4-aa3b-451e-b816-00d8a94cf5f2.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
128,35.0,32.0,17.37238095238095,5.8,2.5,3.4,73.7%,0.0,0.0,0%,0.8,1.9,41.2%,1.3,1.6,2.9,1.9,0.3,0.9,0.8,0.1,2.4,2.2,8.3,008811,"FALL, MOUSTAPHA",32,https://media-cdn.incrowdsports.com/691e5b14-6518-4067-8343-013b90f2fd3f.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
129,23.0,12.0,18.19855072463768,5.7,1.9,3.1,62%,0.4,2.0,19.6%,0.7,1.0,77.3%,1.0,1.7,2.7,1.6,0.8,0.7,0.2,0.3,2.6,1.5,5.9,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
130,22.0,8.0,19.052272727272726,5.7,1.2,2.1,55.3%,1.0,2.9,35.9%,0.2,0.2,100%,0.3,1.5,1.7,3.8,0.6,1.3,0.1,0.3,1.3,0.7,7.0,008062,"MCDOWELL-WHITE, WILL",26,https://media-cdn.cortextech.io/1b6b5e70-f5d1-4642-a8ce-719a052fc06e.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
131,25.0,2.0,12.543333333333333,5.6,2.1,3.2,65%,0.0,0.0,0%,1.5,2.2,67.3%,1.1,1.8,2.9,1.0,0.2,1.0,0.2,0.2,1.8,2.2,7.4,002553,"MITROVIC, LUKA",31,https://media-cdn.incrowdsports.com/a68d0c8a-9eb6-4474-962c-16864ab255db.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
132,23.0,9.0,19.06376811594203,5.6,1.7,2.5,67.2%,0.5,2.4,19.6%,0.8,1.0,75%,1.0,1.9,2.8,1.1,0.3,0.8,0.5,0.1,2.9,1.7,5.1,006919,"OLINDE, LOUIS",26,https://media-cdn.cortextech.io/c453742e-1388-429c-aeaa-dc36c2f07c33.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
133,32.0,16.0,19.616666666666667,5.6,1.3,2.3,56.2%,0.8,2.8,29.2%,0.6,1.0,57.6%,1.1,2.2,3.3,0.4,0.4,0.9,0.2,0.2,2.3,1.3,4.5,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
134,33.0,17.0,13.07020202020202,5.5,1.3,2.1,61.8%,0.7,1.8,36.1%,1.0,1.2,78%,0.9,1.5,2.4,0.7,0.4,0.6,0.5,0.1,2.3,1.1,5.3,002968,"SANLI, SERTAC",33,https://media-cdn.incrowdsports.com/253a34da-7f58-4354-a9a5-cc06507200c6.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
135,27.0,11.0,14.427777777777779,5.4,0.6,1.2,50%,1.3,3.0,42.7%,0.4,0.4,90.9%,0.3,0.9,1.2,0.3,0.1,0.6,0.0,0.2,1.7,0.5,2.7,010316,"AJINCA, MELVIN",20,https://media-cdn.cortextech.io/95228ab6-9d8d-4d35-a796-1734d65e28fb.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
136,30.0,21.0,23.615555555555556,5.4,0.8,1.7,49%,1.0,3.0,34.8%,0.6,0.8,79.2%,0.3,2.1,2.4,4.1,1.2,1.3,0.1,0.3,2.7,1.3,7.2,006739,"PAJOLA, ALESSANDRO",25,https://media-cdn.cortextech.io/ccc6aac9-c905-4988-a055-0a0bc8b13010.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
137,34.0,17.0,13.02156862745098,5.3,2.1,3.4,63.5%,0.0,0.0,0%,1.0,1.7,59.6%,0.9,1.8,2.7,0.4,0.1,0.7,0.5,0.2,2.3,1.5,5.4,005504,"BIRUTIS, LAURYNAS",27,https://media-cdn.cortextech.io/ec9e23f4-7618-42d7-9ccd-05bb89fe2e4b.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
138,23.0,5.0,11.970289855072464,5.3,0.7,1.4,51.5%,1.1,3.0,35.7%,0.5,0.8,63.2%,0.1,0.8,0.9,1.4,0.5,1.1,0.0,0.1,1.4,1.4,3.9,013378,"RATHAN-MAYES, XAVIER",30,https://media-cdn.cortextech.io/be33c25c-a375-46b0-8fa6-b978b93ac5f0.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
139,34.0,12.0,16.351470588235294,5.2,1.6,3.4,48.3%,0.4,1.1,41.7%,0.6,1.0,57.1%,0.3,1.4,1.6,1.6,1.1,1.1,0.2,0.4,2.4,1.3,4.4,013371,"HARRISON, SHAQUILLE",31,https://media-cdn.cortextech.io/3b994fa6-5da8-4559-ac9a-6c6400e3fd99.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
140,33.0,6.0,17.421212121212122,5.2,0.2,0.6,33.3%,1.3,3.1,42.7%,0.7,0.8,88.9%,0.7,1.2,1.9,0.7,0.7,0.2,0.0,0.1,2.3,1.8,5.2,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.cortextech.io/8d21b46c-77f3-4241-834a-c819a514fc58.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
141,25.0,5.0,15.576666666666668,5.0,1.6,2.9,53.4%,0.4,1.6,27.5%,0.5,0.8,65%,0.6,1.9,2.5,3.4,0.8,1.3,0.0,0.1,2.1,2.0,7.4,010106,"NUNEZ, JUAN",20,https://media-cdn.cortextech.io/d990406b-fe36-45c0-9561-61f93c4ced9b.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
